account_id,order_id,shop_name,event_name,event_category,event_subcategories,first_event_date_start,last_event_date_end,first_name,last_name,email,ticket_name,barcode,order_status,order_invalidated,order_invalidated_at,ticket_invalidated,ticket_invalidated_at,created_at,paid_currency,order_value,order_fees,transaction_fees,ticket_value,ticket_fees,optionals_value,refunded_amount,payment_id,payment_method,coupons,device,tracker,tracker_name,seat,is_scanned,first_scanned_at,order_metadata_first_name,order_metadata_last_name,order_metadata_wrong1,order_metadata_wrong2,order_metadata_wrong3,order_metadata_wrong4,order_metadata_wrong5,order_metadata_wrong6,order_metadata_wrong7,order_metadata_wrong8,order_metadata_city,order_metadata_gender,order_metadata_province,order_metadata_company,order_metadata_country,order_metadata_covid_no_symptoms,order_metadata_age,order_metadata_wrong9,order_metadata_wrong10,order_metadata_wrong11,order_metadata_wrong12,order_metadata_wrong13,order_metadata_wrong14,order_ticket_metadata_first_name,order_ticket_metadata_last_name,order_ticket_wrong1,order_ticket_metadata_email,order_ticket_metadata_street,order_ticket_metadata_street_number,order_ticket_metadata_street_number_additional,order_ticket_metadata_postal,order_ticket_metadata_date_of_birth,order_ticket_metadata_state,order_ticket_metadata_city,order_ticket_metadata_gender,order_ticket_metadata_province,order_ticket_metadata_company,order_ticket_metadata_country,order_ticket_metadata_covid_no_symptoms,order_ticket_metadata_age,order_ticket_wrong2,order_ticket_metadata_phone,order_ticket_metadata_fullname,order_ticket_metadata_covid_one_household,order_ticket_metadata_keep_me_informed,order_ticket_metadata_Diet,geolocation_street_name,geolocation_street_number,geolocation_locality,geolocation_postal_code,geolocation_sub_locality,geolocation_admin_level_1,geolocation_admin_level_2,geolocation_country_code,geolocation_latitude,geolocation_longitude,ticket_pdf_link
0,83e76600-578b-11e8-ad2b-d173c948ee97,Import,Data preview 2016,other,other,9/12/2016 17:00,9/12/2016 21:00,Hazel,Good,placeholder5370@hotmail.com,Ticket 2,TFEMBQCHMPHCB62,paid,,,,,3/4/2016 18:00,,0,0,0,20,0,0,0,,,,desktop,,,,1,9/12/2016 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,840eb3f0-578b-11e8-a5c9-85d10625a2f9,Import,Data preview 2016,other,other,9/12/2016 17:00,9/12/2016 21:00,Anthony,Chandler,placeholder5373@hotmail.com,Ticket 2,TFER8UCD9QZDP7E,paid,,,,,3/4/2016 18:00,,0,0,0,20,0,0,0,,,,desktop,,,,1,9/12/2016 18:00,,,,,,,,,,,Tilburg,woman,North Brabant,,Netherlands,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,841e4200-578b-11e8-92cd-417a1e0ce789,Import,Data preview 2016,other,other,9/12/2016 17:00,9/12/2016 21:00,Kash,Atkinson,placeholder5374@hotmail.com,Ticket 2,TFEZ6772DABRKFY,paid,,,,,3/4/2016 18:00,,0,0,0,20,0,0,0,,,,desktop,,,,1,9/12/2016 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,842c41a0-578b-11e8-a504-617e561097f4,Import,Data preview 2016,other,other,9/12/2016 17:00,9/12/2016 21:00,Tanner,Padilla,placeholder5375@hotmail.com,Ticket 2,TFE7X7AS4PKA9SP,paid,,,,,3/4/2016 18:00,,0,0,0,20,0,0,0,,,,desktop,,,,1,9/12/2016 18:00,,,,,,,,,,,Tilburg,male,North Brabant,,Netherlands,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8464e380-578b-11e8-aa96-7bf1a2132ee7,Import,Data preview 2016,other,other,9/12/2016 17:00,9/12/2016 21:00,Jaylene,Browning,placeholder5379@hotmail.com,Ticket 2,TFEWZSNPA2FJTAV,paid,,,,,3/4/2016 18:00,,0,0,0,20,0,0,0,,,,desktop,,,,0,,,,,,,,,,,,Tilburg,woman,North Brabant,,Netherlands,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,84758810-578b-11e8-b10e-3516d99b06a0,Import,Data preview 2016,other,other,9/12/2016 17:00,9/12/2016 21:00,Josh,Perez,placeholder5380@hotmail.com,Ticket 2,TFEACJQ2MU86SVB,paid,,,,,3/4/2016 18:00,,0,0,0,20,0,0,0,,,,desktop,,,,1,9/12/2016 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,84827d80-578b-11e8-ad09-35fbed002870,Import,Data preview 2016,other,other,9/12/2016 17:00,9/12/2016 21:00,Cameron,Maynard,placeholder5381@hotmail.com,Ticket 2,TFEUVSRPPF63TDK,paid,,,,,3/4/2016 18:00,,0,0,0,20,0,0,0,,,,desktop,,,,0,,,,,,,,,,,,Helmond,male,North Brabant,,Netherlands,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,849503d0-578b-11e8-a7b5-79e55d0b756d,Import,Data preview 2016,other,other,9/12/2016 17:00,9/12/2016 21:00,Johanna,Clements,placeholder5382@hotmail.com,Ticket 2,TFE8X9J2B97PUU3,paid,,,,,3/4/2016 18:00,,0,0,0,20,0,0,0,,,,desktop,,,,1,9/12/2016 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,84a17a00-578b-11e8-890b-0599884ce881,Import,Data preview 2016,other,other,9/12/2016 17:00,9/12/2016 21:00,Shirley,Gay,placeholder5383@hotmail.com,Ticket 2,TFE2VGRM2FST5FE,paid,,,,,3/4/2016 18:00,,0,0,0,20,0,0,0,,,,desktop,,,,1,9/12/2016 18:00,,,,,,,,,,,Tilburg,woman,North Brabant,,Netherlands,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,84b93a90-578b-11e8-8de9-c1cfff9d15c1,Import,Data preview 2016,other,other,9/12/2016 17:00,9/12/2016 21:00,Destinee,Lee,placeholder5384@hotmail.com,Ticket 2,TFEQAZH4F7YTTBZ,paid,,,,,3/4/2016 18:00,,0,0,0,20,0,0,0,,,,desktop,,,,1,9/12/2016 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
